iter,M,C,S,alpha,ws
0,438,679,1016,1.211227213546233,2.0
1,954,668,909,1.6872564923782145,2.0
2,897,676,189,1.969866927657085,1.0
3,425,1010,132,1.8171542948241264,1.0
4,280,743,512,1.7887490462985387,1.1524490884607823
5,868,528,764,1.6331671320386025,0.3710191358958389
6,507,888,287,1.0388749830030466,0.10502578379525872
7,606,222,878,1.7306556927586128,0.30033379059963244
8,865,332,441,1.743918493986992,0.24414406243491388
9,277,929,227,1.2144407102207113,0.06745474887258662
10,294,899,225,1.1734316003494532,0.014431077442178567
11,295,908,198,1.176634632327488,0.018637406122545396
12,867,399,925,1.1979078103254168,0.1824329200558875
13,266,863,239,1.17427050845065,0.08421116405186768
14,494,359,755,1.688662412252103,0.7025334076726681
15,147,855,401,1.812348427957053,0.8972280809035225
16,308,906,220,1.1639146141563363,0.0797566140803805
17,288,959,229,1.2220884200313356,0.2866386242116231
18,546,501,442,1.4846895320987925,0.40116328450944255
19,592,891,584,1.3103283762645561,0.6076900668049876
20,263,892,192,1.1712152871362338,0.06571321275755156
21,239,905,232,1.1865318232877387,0.08980939384952893
22,237,945,156,1.1541252701158748,0.06482609496649697
23,342,293,845,1.7388052720725145,0.5462239700516108
24,948,542,198,1.3974497589088644,0.18839508284657364
25,759,859,814,1.0039805813685694,0.21404077340389582
26,280,908,181,1.1755097055084027,0.07584241237388273
27,231,413,383,1.1835490157072353,0.06833178623377612
28,209,385,386,1.1736224331711114,0.059893011729537225
29,195,393,395,1.1818759969461823,0.07248963127852887
30,1002,508,763,1.6274906163460081,0.5383200653544762
31,208,417,377,1.2203806857333555,0.1486400619027997
32,238,366,387,1.1572874680875715,0.06320658746960194
33,45,939,645,1.6304609297555759,0.45726256423105155
34,220,896,242,1.2098050957442246,0.21256562329416145
35,987,704,451,1.6799655972483247,0.5890602193393715
36,240,942,122,1.1741481335829642,0.07038179242503262
37,478,986,136,1.5690948490476613,0.5019465831562941
38,329,902,242,1.1477234232173843,0.1344229776979593
39,401,282,326,1.067858745880503,0.06868818233935543
40,714,271,119,1.4987845130863464,0.16651043433021082
41,434,871,311,1.6912517936273048,0.6164226140620032
42,284,272,309,1.8806762567690598,0.4371694645015387
43,254,968,115,1.1750745571479981,0.18597844837682243
44,274,924,200,1.1507077383047815,0.13400495117898775
45,659,922,1004,1.2128051839804195,0.42155132814008645
46,343,791,449,1.6114724515101395,0.620311308164647
47,269,239,159,1.844899998576485,0.31882926085480146
48,231,446,395,1.167236678740979,0.12223563988913169
49,200,393,333,1.1657621710827968,0.10420699205519962
50,1020,701,766,1.3394179538416742,0.3844792970478097
51,298,898,236,1.140283538407293,0.1235880914315709
52,422,290,331,1.0696000927340445,0.06300289892872926
53,1021,875,529,1.2585216606327956,0.3866418811549196
54,686,606,180,1.3155690612833473,0.21444666230706108
55,257,907,256,1.1507159200478352,0.1410998708587805
56,471,432,203,1.3537222042982195,0.21852819109482313
57,220,978,194,1.1337354545392286,0.10760684174265858
58,541,844,652,1.8552802715857155,1.6204256082503337
59,505,409,223,1.2748900962903793,0.17164154197409062
60,504,897,289,1.0433906194511535,0.2555855333232347
61,297,879,167,1.1569941028263282,0.09664108627791917
62,269,872,221,1.1865327887474468,0.11535544271444025
63,289,919,201,1.2158577756561315,0.23189234267783881
64,820,361,611,1.0563193012456944,0.15625578067505855
65,846,108,588,1.650718093566102,0.19853898851484708
66,13,111,461,1.1024083026601255,0.06254531007798003
67,269,474,561,1.874284031351074,0.8877307799903321
68,187,580,706,1.828151953401009,1.0274811114339921
69,416,284,343,1.075317230080104,0.10494866856933159
70,19,570,846,1.8546974401265333,0.512752970859644
71,416,291,313,1.0618537401180297,0.09864944359753926
72,561,456,565,1.6645325934042061,0.4752226503040457
73,71,647,175,1.698247026148407,0.3766751955885884
74,1019,614,282,1.4145251846869171,0.2964951236932585
75,332,894,372,1.200409652851751,0.5540352331368187
76,398,274,330,1.052879356730014,0.09804067473730343
77,9,397,633,1.2980868692375376,0.12189427186410311
78,196,395,366,1.1775765224087913,0.1340106449758925
79,625,333,496,1.905767677776649,0.8443187008647449
80,406,482,300,1.2183957626912774,0.22846995671928624
81,73,804,1015,1.2762861363518943,0.4376301031675349
82,778,884,1002,1.7065503757452136,0.9830491710915445
83,191,332,219,1.547232062781129,0.3056208032391087
84,693,880,712,1.4949362954867706,0.652752694096741
85,387,324,332,1.0407318808688062,0.11465346724899447
86,991,472,152,1.8063619936172641,0.4808768863071892
87,276,907,218,1.1856170962410548,0.15003687141296362
88,431,300,313,1.0424562586896378,0.08463718783947499
89,331,867,160,1.15821137292499,0.1294692977824627
90,324,920,189,1.1653485006053543,0.12028132102449784
91,281,892,147,1.1830281151843889,0.1308919687707717
92,41,205,192,1.6831112883722772,0.09463815408479608
93,204,345,368,1.1586550652693843,0.1041669263262522
94,223,894,223,1.1805116227094588,0.16867941421658594
95,299,902,212,1.1846247487939472,0.16353718361243122
96,63,752,206,1.689522650235053,0.3945265589079892
97,313,907,201,1.1568064592145948,0.14301391415892195
98,45,599,258,1.2241571512780909,0.17230831160154295
99,48,1001,777,1.3905739951902232,0.3973182170393575
100,924,533,615,1.7175434587621363,0.5538153617207664
101,199,373,307,1.1587420493108174,0.11622558097892004
102,129,722,160,1.7868657202215692,0.7063838459887264
103,902,784,147,1.7869441410235192,0.8131135937687645
104,1006,672,384,1.0823943275139958,0.16123923856645755
105,625,392,413,1.951003152105208,0.8868253573200404
106,32,552,237,1.6944272264748883,0.20468163935344807
107,776,585,356,1.5288275658246167,0.4442528275491345
108,474,202,378,1.386157911409064,0.16838379954045185
109,552,474,565,1.5299006138869853,0.42424394892197503
