trial,generation,method,max_deg,size_construction,size_search,alpha,build_time,memory,search_time,recall
0,0,single-cutcat-unif,607,637,753,1.771484375,3.184902159,0,0.005634553,1.0
0,0,single-cutcat-unif,680,1003,633,1.8330078125,4.284197097,0,0.005409878,1.0
0,0,single-cutcat-unif,869,143,227,1.1904296875,0.176757943,0,0.001410236,0.9998
0,0,single-cutcat-unif,33,396,628,1.2109375,0.490608376,0,0.0026231,1.0
0,0,single-cutcat-unif,910,691,430,1.8017578125,3.113285507,0,0.00425325,1.0
0,0,single-cutcat-unif,254,280,537,1.09375,0.273346133,0,0.002462326,1.0
0,0,single-cutcat-unif,169,469,291,1.001953125,0.368204867,0,0.001667022,1.0
0,0,single-cutcat-unif,254,313,113,1.8896484375,1.93965255,0,0.00191484,1.0
0,0,single-cutcat-unif,103,873,450,1.7783203125,3.089591723,0,0.00286165,1.0
0,0,single-cutcat-unif,645,570,567,1.6552734375,1.554509604,0,0.004095212,1.0
0,1,single-cutcat-unif,254,280,537,1.09375,0.273346133,0,0.002462326,1.0
0,1,single-cutcat-unif,254,288,537,1.09375,0.273441053,0,0.00255995,1.0
0,1,single-cutcat-unif,133,280,503,1.1865234375,0.352537705,0,0.002530224,1.0
0,1,single-cutcat-unif,744,283,280,1.0947265625,0.279664961,0,0.001562855,1.0
0,2,single-cutcat-unif,254,280,537,1.09375,0.273346133,0,0.002462326,1.0
0,2,single-cutcat-unif,745,281,537,1.046875,0.261413374,0,0.002338632,1.0
0,2,single-cutcat-unif,744,283,280,1.0947265625,0.279664961,0,0.001562855,1.0
0,3,single-cutcat-unif,737,152,539,1.1865234375,0.188976813,0,0.002290821,1.0
0,3,single-cutcat-unif,648,283,152,1.1025390625,0.274658564,0,0.001174471,0.9997
0,3,single-cutcat-unif,744,283,280,1.0947265625,0.279664961,0,0.001562855,1.0
0,3,single-cutcat-unif,744,282,281,1.0947265625,0.271989318,0,0.001694063,1.0
0,3,single-cutcat-unif,737,281,281,1.09375,0.271788118,0,0.001681189,1.0
0,4,single-cutcat-unif,737,152,539,1.1865234375,0.188976813,0,0.002290821,1.0
0,4,single-cutcat-unif,648,283,152,1.1025390625,0.274658564,0,0.001174471,0.9997
0,4,single-cutcat-unif,745,265,281,1.046875,0.261354691,0,0.001649238,1.0
0,5,single-cutcat-unif,737,280,283,1.0947265625,0.284888415,0,0.00174063,1.0
0,5,single-cutcat-unif,737,152,539,1.1865234375,0.188976813,0,0.002290821,1.0
0,5,single-cutcat-unif,648,283,152,1.1025390625,0.274658564,0,0.001174471,0.9997
0,5,single-cutcat-unif,745,265,281,1.046875,0.261354691,0,0.001649238,1.0
0,5,single-cutcat-unif,237,152,537,1.09375,0.17372082,0,0.002310819,1.0
0,6,single-cutcat-unif,737,280,283,1.0947265625,0.284888415,0,0.00174063,1.0
0,6,single-cutcat-unif,993,120,507,1.1728515625,0.158683719,0,0.00260797,1.0
0,6,single-cutcat-unif,648,283,152,1.1025390625,0.274658564,0,0.001174471,0.9997
0,6,single-cutcat-unif,745,265,281,1.046875,0.261354691,0,0.001649238,1.0
0,7,single-cutcat-unif,993,120,507,1.1728515625,0.158683719,0,0.00260797,1.0
0,7,single-cutcat-unif,225,256,155,1.0947265625,0.256881736,0,0.001472273,0.9995
0,7,single-cutcat-unif,668,538,149,1.0966796875,0.448047667,0,0.001214887,0.9997
0,7,single-cutcat-unif,648,283,152,1.1025390625,0.274658564,0,0.001174471,0.9997
0,7,single-cutcat-unif,745,265,281,1.046875,0.261354691,0,0.001649238,1.0
0,7,single-cutcat-unif,993,120,283,1.1708984375,0.153271939,0,0.001680667,0.9999000000000001
0,8,single-cutcat-unif,993,120,507,1.1728515625,0.158683719,0,0.00260797,1.0
0,8,single-cutcat-unif,225,256,155,1.0947265625,0.256881736,0,0.001472273,0.9995
0,8,single-cutcat-unif,648,283,152,1.1025390625,0.274658564,0,0.001174471,0.9997
0,8,single-cutcat-unif,745,265,281,1.046875,0.261354691,0,0.001649238,1.0
0,8,single-cutcat-unif,253,281,281,1.09375,0.275592579,0,0.001635953,1.0
0,8,single-cutcat-unif,233,600,161,1.09375,0.469405537,0,0.001325766,0.9999000000000001
0,9,single-cutcat-unif,225,256,155,1.0947265625,0.256881736,0,0.001472273,0.9995
0,9,single-cutcat-unif,200,608,161,1.0966796875,0.4935951,0,0.001339492,0.9999000000000001
0,9,single-cutcat-unif,520,121,512,1.1728515625,0.212944236,0,0.002433691,1.0
0,9,single-cutcat-unif,684,282,281,1.0478515625,0.338463174,0,0.001654468,1.0
0,9,single-cutcat-unif,745,265,281,1.046875,0.261354691,0,0.001649238,1.0
0,9,single-cutcat-unif,225,256,155,1.2197265625,0.360600317,0,0.001616617,1.0
0,9,single-cutcat-unif,648,283,152,1.1025390625,0.274658564,0,0.001174471,0.9997
0,9,single-cutcat-unif,233,600,161,1.09375,0.469405537,0,0.001325766,0.9999000000000001
0,10,single-cutcat-unif,993,120,507,1.1728515625,0.158683719,0,0.00260797,1.0
0,10,single-cutcat-unif,520,121,512,1.1728515625,0.212944236,0,0.002433691,1.0
0,10,single-cutcat-unif,235,600,161,1.09375,0.49227369,0,0.001264541,0.9998
0,10,single-cutcat-unif,648,283,152,1.1025390625,0.274658564,0,0.001174471,0.9997
0,10,single-cutcat-unif,745,265,281,1.046875,0.261354691,0,0.001649238,1.0
0,10,single-cutcat-unif,253,281,281,1.09375,0.275592579,0,0.001635953,1.0
0,10,single-cutcat-unif,225,256,155,1.2197265625,0.360600317,0,0.001616617,1.0
0,10,single-cutcat-unif,232,248,160,1.09375,0.247968613,0,0.001314255,0.9997
0,10,single-cutcat-unif,233,600,161,1.09375,0.469405537,0,0.001325766,0.9999000000000001
0,10,single-cutcat-unif,745,265,347,1.046875,0.260229173,0,0.001920401,1.0
0,0,multi-cutcat-unif,88,818,453,1.6298828125,2.259289234,0,0.002725432,1.0
0,0,multi-cutcat-unif,588,519,1019,1.28515625,0.693720318,0,0.004844258,1.0
0,0,multi-cutcat-unif,928,271,254,1.5439453125,0.648656006,0,0.002746281,1.0
0,0,multi-cutcat-unif,67,173,269,1.796875,0.723038163,0,0.001992928,1.0
0,0,multi-cutcat-unif,196,171,273,1.4921875,0.449739952,0,0.00234323,1.0
0,0,multi-cutcat-unif,488,547,834,1.6923828125,1.572544958,0,0.005025321,1.0
0,0,multi-cutcat-unif,775,119,311,1.513671875,0.303162512,0,0.002693813,1.0
0,0,multi-cutcat-unif,1008,505,971,1.48046875,1.134014767,0,0.005660953,1.0
0,0,multi-cutcat-unif,176,623,110,1.4365234375,0.995372206,0,0.001545141,1.0
0,0,multi-cutcat-unif,171,602,707,1.9296875,4.052718573,0,0.004113848,1.0
0,1,multi-cutcat-unif,196,171,273,1.4921875,0.449739952,0,0.00234323,1.0
0,1,multi-cutcat-unif,775,119,311,1.513671875,0.303162512,0,0.002693813,1.0
0,1,multi-cutcat-unif,67,173,269,1.796875,0.723038163,0,0.001992928,1.0
0,2,multi-cutcat-unif,196,171,273,1.4921875,0.449739952,0,0.00234323,1.0
0,2,multi-cutcat-unif,775,119,311,1.513671875,0.303162512,0,0.002693813,1.0
0,2,multi-cutcat-unif,67,173,269,1.796875,0.723038163,0,0.001992928,1.0
0,3,multi-cutcat-unif,939,173,241,1.546875,0.427387332,0,0.00237013,1.0
0,3,multi-cutcat-unif,945,216,783,1.2421875,0.35937139,0,0.003753516,1.0
0,3,multi-cutcat-unif,196,216,275,1.4921875,0.572521813,0,0.00241753,1.0
0,3,multi-cutcat-unif,67,173,269,1.796875,0.723038163,0,0.001992928,1.0
0,3,multi-cutcat-unif,196,171,273,1.4921875,0.449739952,0,0.00234323,1.0
0,4,multi-cutcat-unif,195,173,273,1.296875,0.283129746,0,0.002087586,1.0
0,4,multi-cutcat-unif,67,173,269,1.796875,0.723038163,0,0.001992928,1.0
0,5,multi-cutcat-unif,75,175,241,1.796875,0.820178555,0,0.001936792,1.0
0,5,multi-cutcat-unif,195,173,273,1.296875,0.283129746,0,0.002087586,1.0
0,5,multi-cutcat-unif,741,165,145,1.48828125,0.394810651,0,0.001886286,1.0
0,6,multi-cutcat-unif,740,181,145,1.26953125,0.309093254,0,0.001632847,1.0
0,6,multi-cutcat-unif,1009,205,785,1.0546875,0.214405406,0,0.003113667,1.0
0,6,multi-cutcat-unif,195,173,273,1.296875,0.283129746,0,0.002087586,1.0
0,6,multi-cutcat-unif,963,173,273,1.296875,0.317152722,0,0.002291893,1.0
0,7,multi-cutcat-unif,740,181,145,1.26953125,0.309093254,0,0.001632847,1.0
0,7,multi-cutcat-unif,145,189,273,1.1103515625,0.205008891,0,0.001664156,1.0
0,7,multi-cutcat-unif,881,141,785,1.046875,0.166786917,0,0.002863404,1.0
0,8,multi-cutcat-unif,145,189,273,1.1103515625,0.205008891,0,0.001664156,1.0
0,8,multi-cutcat-unif,881,141,785,1.046875,0.166786917,0,0.002863404,1.0
0,8,multi-cutcat-unif,749,181,145,1.33203125,0.3233778,0,0.001783262,1.0
0,9,multi-cutcat-unif,740,183,145,1.3798828125,0.33985916,0,0.001688653,1.0
0,9,multi-cutcat-unif,881,141,785,1.046875,0.166786917,0,0.002863404,1.0
0,9,multi-cutcat-unif,145,189,273,1.1103515625,0.205008891,0,0.001664156,1.0
0,9,multi-cutcat-unif,708,183,143,1.2548828125,0.315763264,0,0.001675949,1.0
0,9,multi-cutcat-unif,884,111,273,1.015625,0.135450914,0,0.001659227,0.9999000000000001
0,10,multi-cutcat-unif,884,111,273,1.015625,0.135450914,0,0.001659227,0.9999000000000001
0,10,multi-cutcat-unif,145,173,273,1.109375,0.188495289,0,0.001630964,1.0
0,10,multi-cutcat-unif,1,437,273,1.30078125,0.034485319,0,0.000908267,0.9422
0,10,multi-cutcat-unif,236,181,145,1.26953125,0.299694584,0,0.001540572,1.0
0,0,single-cutcat-tour,599,416,390,1.5791015625,1.02132004,0,0.003456735,1.0
0,0,single-cutcat-tour,379,287,284,1.2138671875,0.401480119,0,0.002309676,1.0
0,0,single-cutcat-tour,691,1012,306,1.734375,3.724761841,0,0.00382411,1.0
0,0,single-cutcat-tour,157,966,672,1.298828125,1.070068386,0,0.003742406,1.0
0,0,single-cutcat-tour,589,215,527,1.7109375,0.564095279,0,0.003241278,1.0
0,0,single-cutcat-tour,258,892,170,1.88671875,6.026625008,0,0.002552855,1.0
0,0,single-cutcat-tour,651,604,623,1.8857421875,3.14428697,0,0.005033245,1.0
0,0,single-cutcat-tour,191,232,282,1.4375,0.413772209,0,0.002229795,1.0
0,0,single-cutcat-tour,971,423,219,1.3701171875,0.669476583,0,0.002165935,1.0
0,0,single-cutcat-tour,43,473,260,1.556640625,0.951080054,0,0.001810944,1.0
0,1,single-cutcat-tour,183,256,391,1.1884765625,0.272081328,0,0.001939126,1.0
0,1,single-cutcat-tour,575,416,282,1.078125,0.370239276,0,0.001699172,1.0
0,2,single-cutcat-tour,759,144,135,1.1884765625,0.173684237,0,0.00110524,0.9987
0,2,single-cutcat-tour,695,416,263,1.0947265625,0.36266256,0,0.001657744,1.0
0,2,single-cutcat-tour,183,256,196,1.1923828125,0.270735753,0,0.001530113,0.9999000000000001
0,2,single-cutcat-tour,567,258,263,1.1103515625,0.265196792,0,0.00167652,1.0
0,3,single-cutcat-tour,695,256,263,1.0634765625,0.253305238,0,0.001679275,1.0
0,3,single-cutcat-tour,735,258,135,1.1884765625,0.262871796,0,0.001225597,0.9991
0,3,single-cutcat-tour,759,144,135,1.1884765625,0.173684237,0,0.00110524,0.9987
0,3,single-cutcat-tour,767,144,135,1.2197265625,0.257982342,0,0.001695336,1.0
0,4,single-cutcat-tour,759,144,135,1.1884765625,0.173684237,0,0.00110524,0.9987
0,4,single-cutcat-tour,759,242,135,1.0634765625,0.245986652,0,0.001125117,0.9992000000000002
0,4,single-cutcat-tour,567,258,263,1.1103515625,0.265196792,0,0.00167652,1.0
0,5,single-cutcat-tour,767,240,135,1.1103515625,0.276618856,0,0.00106827,0.9993000000000001
0,5,single-cutcat-tour,755,258,143,1.0634765625,0.251336467,0,0.001120869,0.9995
0,5,single-cutcat-tour,754,513,199,1.1103515625,0.438504415,0,0.001452977,1.0
0,5,single-cutcat-tour,759,238,135,1.125,0.249216619,0,0.001255614,0.9991
0,5,single-cutcat-tour,759,242,135,1.0634765625,0.245986652,0,0.001125117,0.9992000000000002
0,5,single-cutcat-tour,759,146,135,1.1884765625,0.180437355,0,0.001085472,0.9986
0,5,single-cutcat-tour,735,258,135,1.1884765625,0.262871796,0,0.001225597,0.9991
0,5,single-cutcat-tour,767,144,135,1.2197265625,0.257982342,0,0.001695336,1.0
0,5,single-cutcat-tour,567,126,327,1.109375,0.153344503,0,0.001752773,1.0
0,5,single-cutcat-tour,759,112,135,1.2353515625,0.209596333,0,0.001696668,1.0
0,6,single-cutcat-tour,767,240,135,1.1103515625,0.276618856,0,0.00106827,0.9993000000000001
0,6,single-cutcat-tour,755,258,143,1.0634765625,0.251336467,0,0.001120869,0.9995
0,6,single-cutcat-tour,754,513,199,1.1103515625,0.438504415,0,0.001452977,1.0
0,6,single-cutcat-tour,759,242,135,1.0634765625,0.245986652,0,0.001125117,0.9992000000000002
0,6,single-cutcat-tour,759,146,135,1.1884765625,0.180437355,0,0.001085472,0.9986
0,6,single-cutcat-tour,567,114,391,1.0947265625,0.145256712,0,0.001876137,1.0
