generation,method,max_deg,size_construction,size_search,alpha,build_time,memory,search_time,recall
0,single-cutcat-unif,423,174,719,1.2646484375,0.277837866,0,0.003517119,1.0
0,single-cutcat-unif,958,178,640,1.55078125,0.42898606,0,0.003988229,1.0
0,single-cutcat-unif,254,969,341,1.240234375,0.995194751,0,0.002731795,1.0
0,single-cutcat-unif,761,671,133,1.6962890625,2.034301636,0,0.00230106,1.0
0,single-cutcat-unif,551,784,296,1.205078125,0.85539023,0,0.002544481,1.0
0,single-cutcat-unif,984,337,277,1.818359375,1.119316277,0,0.003270012,1.0
0,single-cutcat-unif,787,491,464,1.7373046875,1.92388762,0,0.004191795,1.0
0,single-cutcat-unif,935,931,104,1.140625,0.674991401,0,0.001241316,0.9982
0,single-cutcat-unif,331,982,144,1.4423828125,1.828238693,0,0.002430626,1.0
0,single-cutcat-unif,278,872,408,1.8984375,6.234820784,0,0.003573907,1.0
1,single-cutcat-unif,958,178,640,1.55078125,0.42898606,0,0.003988229,1.0
1,single-cutcat-unif,761,671,133,1.6962890625,2.034301636,0,0.00230106,1.0
1,single-cutcat-unif,551,784,296,1.205078125,0.85539023,0,0.002544481,1.0
1,single-cutcat-unif,935,931,104,1.140625,0.674991401,0,0.001241316,0.9982
1,single-cutcat-unif,331,982,144,1.4423828125,1.828238693,0,0.002430626,1.0
1,single-cutcat-unif,423,174,719,1.2646484375,0.277837866,0,0.003517119,1.0
1,single-cutcat-unif,915,657,464,1.1494140625,0.527749705,0,0.002286002,1.0
1,single-cutcat-unif,678,684,136,1.05078125,0.493285287,0,0.001234644,0.9993000000000001
1,single-cutcat-unif,550,690,576,1.20703125,0.782687988,0,0.003319055,1.0
1,single-cutcat-unif,491,190,720,1.2626953125,0.304605498,0,0.003400849,1.0
2,single-cutcat-unif,729,669,133,1.6962890625,2.004665946,0,0.002396841,1.0
2,single-cutcat-unif,935,931,104,1.140625,0.674991401,0,0.001241316,0.9982
2,single-cutcat-unif,446,178,128,1.263671875,0.300977378,0,0.001548748,1.0
2,single-cutcat-unif,249,675,104,1.140625,0.54222237,0,0.001202663,0.9982
2,single-cutcat-unif,558,656,480,1.05078125,0.501873223,0,0.002281814,1.0
2,single-cutcat-unif,423,174,719,1.2646484375,0.277837866,0,0.003517119,1.0
2,single-cutcat-unif,697,639,133,1.0166015625,0.472994085,0,0.001298324,0.9994
2,single-cutcat-unif,407,173,716,1.2744140625,0.278099873,0,0.00307329,1.0
2,single-cutcat-unif,915,657,464,1.1494140625,0.527749705,0,0.002286002,1.0
2,single-cutcat-unif,678,684,136,1.05078125,0.493285287,0,0.001234644,0.9993000000000001
3,single-cutcat-unif,403,147,722,1.2587890625,0.250744235,0,0.003366895,1.0
3,single-cutcat-unif,446,178,128,1.263671875,0.300977378,0,0.001548748,1.0
3,single-cutcat-unif,249,675,104,1.140625,0.54222237,0,0.001202663,0.9982
3,single-cutcat-unif,697,639,133,1.0166015625,0.472994085,0,0.001298324,0.9994
3,single-cutcat-unif,407,173,716,1.2744140625,0.278099873,0,0.00307329,1.0
3,single-cutcat-unif,697,637,133,1.0712890625,0.491949888,0,0.001265132,0.9994
3,single-cutcat-unif,405,111,709,1.2509765625,0.203675243,0,0.003144766,1.0
3,single-cutcat-unif,558,656,160,1.17578125,0.572446695,0,0.001247147,0.9998
3,single-cutcat-unif,678,684,136,1.05078125,0.493285287,0,0.001234644,0.9993000000000001
3,single-cutcat-unif,174,674,104,1.23828125,0.804238929,0,0.001577682,1.0
4,single-cutcat-unif,697,639,133,1.0166015625,0.472994085,0,0.001298324,0.9994
4,single-cutcat-unif,407,165,140,1.0126953125,0.186968031,0,0.001094368,0.9991
4,single-cutcat-unif,697,637,133,1.0712890625,0.491949888,0,0.001265132,0.9994
4,single-cutcat-unif,405,111,709,1.2509765625,0.203675243,0,0.003144766,1.0
4,single-cutcat-unif,185,125,129,1.26171875,0.218952429,0,0.001350243,1.0
4,single-cutcat-unif,558,656,160,1.17578125,0.572446695,0,0.001247147,0.9998
4,single-cutcat-unif,678,684,136,1.05078125,0.493285287,0,0.001234644,0.9993000000000001
4,single-cutcat-unif,565,623,157,1.15625,0.519054658,0,0.001201932,0.9998
4,single-cutcat-unif,166,141,648,1.30078125,0.239185666,0,0.002933145,1.0
4,single-cutcat-unif,446,178,128,1.263671875,0.300977378,0,0.001548748,1.0
5,single-cutcat-unif,407,165,140,1.0126953125,0.186968031,0,0.001094368,0.9991
5,single-cutcat-unif,185,125,129,1.26171875,0.218952429,0,0.001350243,1.0
5,single-cutcat-unif,184,167,129,1.01171875,0.179540295,0,0.001164441,0.9987999999999999
5,single-cutcat-unif,446,178,128,1.263671875,0.300977378,0,0.001548748,1.0
5,single-cutcat-unif,697,639,133,1.0166015625,0.472994085,0,0.001298324,0.9994
5,single-cutcat-unif,697,637,133,1.0712890625,0.491949888,0,0.001265132,0.9994
5,single-cutcat-unif,405,111,709,1.2509765625,0.203675243,0,0.003144766,1.0
5,single-cutcat-unif,558,656,160,1.17578125,0.572446695,0,0.001247147,0.9998
5,single-cutcat-unif,565,623,157,1.15625,0.519054658,0,0.001201932,0.9998
5,single-cutcat-unif,405,175,197,1.2509765625,0.293481667,0,0.001903068,1.0
6,single-cutcat-unif,697,639,133,1.0166015625,0.472994085,0,0.001298324,0.9994
6,single-cutcat-unif,407,165,140,1.0126953125,0.186968031,0,0.001094368,0.9991
6,single-cutcat-unif,697,637,133,1.0712890625,0.491949888,0,0.001265132,0.9994
6,single-cutcat-unif,569,639,133,1.0166015625,0.47435384,0,0.001224255,0.9993000000000001
6,single-cutcat-unif,950,626,128,1.15625,0.518704004,0,0.001210238,0.9993000000000001
6,single-cutcat-unif,405,111,709,1.2509765625,0.203675243,0,0.003144766,1.0
6,single-cutcat-unif,185,125,129,1.26171875,0.218952429,0,0.001350243,1.0
6,single-cutcat-unif,558,656,160,1.17578125,0.572446695,0,0.001247147,0.9998
6,single-cutcat-unif,184,167,129,1.01171875,0.179540295,0,0.001164441,0.9987999999999999
6,single-cutcat-unif,184,167,129,1.27734375,0.271422054,0,0.001545812,1.0
7,single-cutcat-unif,407,165,140,1.0126953125,0.186968031,0,0.001094368,0.9991
7,single-cutcat-unif,688,615,153,1.02734375,0.458245645,0,0.001339522,0.9998
7,single-cutcat-unif,569,639,133,1.0166015625,0.47435384,0,0.001224255,0.9993000000000001
7,single-cutcat-unif,294,114,128,1.28125,0.202170192,0,0.001362135,1.0
7,single-cutcat-unif,189,111,133,1.2509765625,0.203537205,0,0.001477714,1.0
7,single-cutcat-unif,185,125,129,1.26171875,0.218952429,0,0.001350243,1.0
7,single-cutcat-unif,574,624,156,1.01953125,0.469651438,0,0.001282645,0.9998
7,single-cutcat-unif,184,167,129,1.01171875,0.179540295,0,0.001164441,0.9987999999999999
7,single-cutcat-unif,697,639,133,1.0166015625,0.472994085,0,0.001298324,0.9994
7,single-cutcat-unif,950,626,128,1.15625,0.518704004,0,0.001210238,0.9993000000000001
8,single-cutcat-unif,664,807,133,1.01953125,0.557451471,0,0.001110189,0.9994
8,single-cutcat-unif,407,165,140,1.0126953125,0.186968031,0,0.001094368,0.9991
8,single-cutcat-unif,688,615,153,1.02734375,0.458245645,0,0.001339522,0.9998
8,single-cutcat-unif,569,639,133,1.0166015625,0.47435384,0,0.001224255,0.9993000000000001
8,single-cutcat-unif,574,626,128,1.03125,0.472261034,0,0.001150505,0.9993000000000001
8,single-cutcat-unif,294,114,128,1.28125,0.202170192,0,0.001362135,1.0
8,single-cutcat-unif,189,111,133,1.2509765625,0.203537205,0,0.001477714,1.0
8,single-cutcat-unif,57,191,133,1.2666015625,0.307115571,0,0.001297824,1.0
8,single-cutcat-unif,185,125,129,1.26171875,0.218952429,0,0.001350243,1.0
8,single-cutcat-unif,574,624,156,1.01953125,0.469651438,0,0.001282645,0.9998
9,single-cutcat-unif,407,165,140,1.0126953125,0.186968031,0,0.001094368,0.9991
9,single-cutcat-unif,688,615,153,1.02734375,0.458245645,0,0.001339522,0.9998
9,single-cutcat-unif,181,111,389,1.2783203125,0.203053712,0,0.002141369,1.0
9,single-cutcat-unif,569,639,133,1.0166015625,0.47435384,0,0.001224255,0.9993000000000001
9,single-cutcat-unif,574,626,128,1.03125,0.472261034,0,0.001150505,0.9993000000000001
9,single-cutcat-unif,294,114,128,1.28125,0.202170192,0,0.001362135,1.0
9,single-cutcat-unif,189,111,133,1.2509765625,0.203537205,0,0.001477714,1.0
9,single-cutcat-unif,57,191,133,1.2666015625,0.307115571,0,0.001297824,1.0
9,single-cutcat-unif,441,125,137,1.13671875,0.1617898,0,0.001064112,0.9984000000000001
9,single-cutcat-unif,638,768,156,1.01953125,0.531566296,0,0.001288336,0.9998
10,single-cutcat-unif,599,677,140,1.0126953125,0.489196993,0,0.001167647,0.9996
10,single-cutcat-unif,407,165,140,1.0126953125,0.186968031,0,0.001094368,0.9991
10,single-cutcat-unif,574,626,128,1.03125,0.472261034,0,0.001150505,0.9993000000000001
10,single-cutcat-unif,573,620,133,1.0009765625,0.446442844,0,0.001214406,0.9994
10,single-cutcat-unif,294,114,128,1.28125,0.202170192,0,0.001362135,1.0
10,single-cutcat-unif,441,125,137,1.13671875,0.1617898,0,0.001064112,0.9984000000000001
10,single-cutcat-unif,57,191,133,1.2666015625,0.307115571,0,0.001297824,1.0
10,single-cutcat-unif,313,127,105,1.0166015625,0.154104739,0,0.000918416,0.9961
10,single-cutcat-unif,561,175,196,1.0166015625,0.191376647,0,0.001340585,0.9998
10,single-cutcat-unif,693,111,129,1.0009765625,0.140023127,0,0.001037321,0.9977000000000001
0,multi-cutcat-unif,320,146,959,1.8466796875,0.66946837,0,0.004784616,1.0
0,multi-cutcat-unif,547,437,248,1.69140625,1.18109264,0,0.00279796,1.0
0,multi-cutcat-unif,838,519,328,1.849609375,2.234646975,0,0.003578085,1.0
0,multi-cutcat-unif,228,824,608,1.326171875,1.08192822,0,0.00334269,1.0
0,multi-cutcat-unif,540,711,147,1.84765625,4.313297811,0,0.002694044,1.0
0,multi-cutcat-unif,371,442,208,1.9326171875,2.737374905,0,0.002794043,1.0
0,multi-cutcat-unif,647,721,976,1.1220703125,0.562432518,0,0.003780187,1.0
0,multi-cutcat-unif,492,183,666,1.1337890625,0.213003135,0,0.002871288,1.0
0,multi-cutcat-unif,235,701,1023,1.724609375,2.478623565,0,0.005373729,1.0
0,multi-cutcat-unif,226,728,920,1.97265625,5.711066113,0,0.005396372,1.0
1,multi-cutcat-unif,547,437,248,1.69140625,1.18109264,0,0.00279796,1.0
1,multi-cutcat-unif,557,715,247,1.6875,2.181081276,0,0.002811315,1.0
1,multi-cutcat-unif,492,183,650,1.1357421875,0.210148228,0,0.002659538,1.0
1,multi-cutcat-unif,320,146,959,1.8466796875,0.66946837,0,0.004784616,1.0
1,multi-cutcat-unif,450,599,794,1.224609375,0.718175753,0,0.003854517,1.0
1,multi-cutcat-unif,838,519,328,1.849609375,2.234646975,0,0.003578085,1.0
1,multi-cutcat-unif,228,824,608,1.326171875,1.08192822,0,0.00334269,1.0
1,multi-cutcat-unif,540,711,147,1.84765625,4.313297811,0,0.002694044,1.0
1,multi-cutcat-unif,376,439,210,1.6982421875,1.252743926,0,0.002647596,1.0
1,multi-cutcat-unif,371,442,208,1.9326171875,2.737374905,0,0.002794043,1.0
2,multi-cutcat-unif,492,215,650,1.1357421875,0.245636295,0,0.002669236,1.0
2,multi-cutcat-unif,547,437,248,1.69140625,1.18109264,0,0.00279796,1.0
