generation,method,max_deg,size_construction,size_search,alpha,build_time,memory,search_time,recall
0,single-cutcat-unif,964,507,733,1.1337890625,0.11662717328378211,0,0.39638925622589927,1.0
0,single-cutcat-unif,763,453,107,1.8564453125,0.6929608185805746,0,0.25861757809461366,1.0
0,single-cutcat-unif,730,467,377,1.005859375,0.0943746419815906,0,0.21304141534886142,1.0
0,single-cutcat-unif,872,944,220,1.2236328125,0.34268732551377645,0,0.31277006678742486,1.0
0,single-cutcat-unif,261,116,665,1.052734375,0.04846750658064589,0,0.41381079224042994,1.0
0,single-cutcat-unif,725,713,520,1.4072265625,0.37062484312969596,0,0.4962347205431541,1.0
0,single-cutcat-unif,130,470,702,1.9462890625,1.0,0,0.6976334580865454,1.0
0,single-cutcat-unif,732,1004,859,1.4287109375,0.43303209617703875,0,0.7271730004169585,1.0
0,single-cutcat-unif,980,192,670,1.4453125,0.1143681972565899,0,0.702697373115451,1.0
0,single-cutcat-unif,830,353,920,1.63671875,0.2894874153806485,0,0.9719978926380709,1.0
1,single-cutcat-unif,964,507,733,1.1337890625,0.11662717328378211,0,0.39638925622589927,1.0
1,single-cutcat-unif,981,116,665,1.4453125,0.055378062248795504,0,0.6166130663318036,1.0
1,single-cutcat-unif,763,453,107,1.8564453125,0.6929608185805746,0,0.25861757809461366,1.0
1,single-cutcat-unif,981,197,715,1.4658203125,0.11285186052075838,0,0.730339937991043,1.0
1,single-cutcat-unif,730,467,377,1.005859375,0.0943746419815906,0,0.21304141534886142,1.0
1,single-cutcat-unif,978,211,793,1.005859375,0.027845785360115304,0,0.4835580611514085,1.0
1,single-cutcat-unif,960,505,733,1.1337890625,0.1166218773104529,0,0.3790985364552658,1.0
1,single-cutcat-unif,872,944,220,1.2236328125,0.34268732551377645,0,0.31277006678742486,1.0
1,single-cutcat-unif,261,116,665,1.052734375,0.04846750658064589,0,0.41381079224042994,1.0
1,single-cutcat-unif,980,1088,158,1.19921875,0.2861052583503159,0,0.1556200921900309,0.9997
2,single-cutcat-unif,964,507,733,1.1337890625,0.11662717328378211,0,0.39638925622589927,1.0
2,single-cutcat-unif,763,453,107,1.8564453125,0.6929608185805746,0,0.25861757809461366,1.0
2,single-cutcat-unif,981,116,665,1.4453125,0.055378062248795504,0,0.6166130663318036,1.0
2,single-cutcat-unif,980,320,670,1.07421875,0.057952848142984806,0,0.3744612479282057,1.0
2,single-cutcat-unif,730,467,377,1.005859375,0.0943746419815906,0,0.21304141534886142,1.0
2,single-cutcat-unif,978,211,793,1.005859375,0.027845785360115304,0,0.4835580611514085,1.0
2,single-cutcat-unif,872,944,220,1.2236328125,0.34268732551377645,0,0.31277006678742486,1.0
2,single-cutcat-unif,261,116,665,1.052734375,0.04846750658064589,0,0.41381079224042994,1.0
2,single-cutcat-unif,980,1088,158,1.19921875,0.2861052583503159,0,0.1556200921900309,0.9997
2,single-cutcat-unif,1023,197,665,1.3876953125,0.07937108372195732,0,0.54796626179337,1.0
3,single-cutcat-unif,980,320,670,1.07421875,0.057952848142984806,0,0.3744612479282057,1.0
3,single-cutcat-unif,730,467,377,1.005859375,0.0943746419815906,0,0.21304141534886142,1.0
3,single-cutcat-unif,722,386,377,1.1328125,0.08211792664260573,0,0.20119785431853046,1.0
3,single-cutcat-unif,978,211,793,1.005859375,0.027845785360115304,0,0.4835580611514085,1.0
3,single-cutcat-unif,261,116,665,1.052734375,0.04846750658064589,0,0.41381079224042994,1.0
3,single-cutcat-unif,980,1088,158,1.19921875,0.2861052583503159,0,0.1556200921900309,0.9997
3,single-cutcat-unif,666,467,361,1.021484375,0.09389022118881131,0,0.36937321218167957,1.0
3,single-cutcat-unif,964,123,669,1.2001953125,0.031753837674077766,0,0.4826589601723506,1.0
3,single-cutcat-unif,1020,212,158,1.2001953125,0.08248965887585345,0,0.12408404664748388,1.0
3,single-cutcat-unif,979,211,619,1.0048828125,0.029768848451072718,0,0.30422730468392234,1.0
4,single-cutcat-unif,964,123,393,1.021484375,0.0450926691365728,0,0.2743273781459826,1.0
4,single-cutcat-unif,980,320,670,1.07421875,0.057952848142984806,0,0.3744612479282057,1.0
4,single-cutcat-unif,730,467,377,1.005859375,0.0943746419815906,0,0.21304141534886142,1.0
4,single-cutcat-unif,722,386,377,1.1328125,0.08211792664260573,0,0.20119785431853046,1.0
4,single-cutcat-unif,741,386,152,1.1328125,0.17094251438537364,0,0.12269343092550268,1.0
4,single-cutcat-unif,661,960,106,1.005859375,0.22823739230011364,0,0.22189312151474364,0.9982
4,single-cutcat-unif,978,211,793,1.005859375,0.027845785360115304,0,0.4835580611514085,1.0
4,single-cutcat-unif,261,116,665,1.052734375,0.04846750658064589,0,0.41381079224042994,1.0
4,single-cutcat-unif,980,1088,158,1.19921875,0.2861052583503159,0,0.1556200921900309,0.9997
4,single-cutcat-unif,666,467,361,1.021484375,0.09389022118881131,0,0.36937321218167957,1.0
5,single-cutcat-unif,964,123,393,1.021484375,0.0450926691365728,0,0.2743273781459826,1.0
5,single-cutcat-unif,667,395,361,1.021484375,0.11677051986843917,0,0.3697182616523184,1.0
