generation,method,max_deg,size_construction,size_search,alpha,build_time,memory,search_time,recall
0,single-cutcat-unif,155,315,772,1.4765625,0.916279326,0.000393216,0.003566335,0.9999999999999999
0,single-cutcat-unif,698,151,620,1.099609375,0.245893485,0.0,0.002195702,0.9999999999999999
0,single-cutcat-unif,429,981,654,1.0283203125,0.70900779,0.0,0.003733711,0.9999999999999999
0,single-cutcat-unif,232,213,723,1.2021484375,0.405052799,0.0,0.002846653,0.9999999999999999
0,single-cutcat-unif,416,281,620,1.412109375,0.544977033,0.0,0.003124217,0.9999999999999999
0,single-cutcat-unif,138,937,219,1.0556640625,0.699465182,0.0,0.001464429,0.9999999999999999
0,single-cutcat-unif,579,844,444,1.037109375,0.684163768,0.0,0.002104769,0.9999999999999999
0,single-cutcat-unif,611,281,316,1.5771484375,0.76618126,0.0,0.002382295,0.9999999999999999
0,single-cutcat-unif,237,733,738,1.6943359375,2.656801018,0.0,0.003576642,0.9999999999999999
0,single-cutcat-unif,948,597,215,1.9453125,3.027697358,0.0,0.004818452,0.9999999999999999
0,single-cutcat-unif,287,689,333,1.880859375,5.59357897,0.0,0.005855051,0.9999999999999999
0,single-cutcat-unif,967,479,323,1.3818359375,0.817050379,0.0,0.003957613,0.9999999999999999
0,single-cutcat-unif,487,949,461,1.0595703125,0.714736878,0.0,0.001967119,0.9999999999999999
0,single-cutcat-unif,965,948,1008,1.5478515625,2.216062046,0.0,0.004745423,0.9999999999999999
0,single-cutcat-unif,375,933,742,1.9599609375,6.190668316,0.0,0.004491373,0.9999999999999999
0,single-cutcat-unif,338,713,179,1.8935546875,5.497691015,0.0,0.002480671,0.9999999999999999
0,single-cutcat-unif,414,257,542,1.607421875,0.723617835,0.0,0.003065817,0.9999999999999999
0,single-cutcat-unif,331,331,667,1.1796875,0.409515758,0.0,0.002550362,0.9999999999999999
0,single-cutcat-unif,833,936,509,1.1015625,0.744154211,0.0,0.002338752,0.9999999999999999
0,single-cutcat-unif,957,546,251,1.53125,1.473529347,0.0,0.002518001,0.9999999999999999
1,single-cutcat-unif,743,153,636,1.1044921875,0.260243219,0.0,0.002128674,0.9999999999999999
1,single-cutcat-unif,698,151,620,1.099609375,0.245893485,0.0,0.002195702,0.9999999999999999
1,single-cutcat-unif,682,150,192,1.099609375,0.248967988,0.0,0.001166105,0.9998000000000001
1,single-cutcat-unif,138,937,219,1.0556640625,0.699465182,0.0,0.001464429,0.9999999999999999
1,single-cutcat-unif,579,844,444,1.037109375,0.684163768,0.0,0.002104769,0.9999999999999999
2,single-cutcat-unif,487,991,259,1.1630859375,0.852590225,0.0,0.001559739,0.9999999999999999
2,single-cutcat-unif,682,150,192,1.099609375,0.248967988,0.0,0.001166105,0.9998000000000001
2,single-cutcat-unif,698,151,620,1.099609375,0.245893485,0.0,0.002195702,0.9999999999999999
2,single-cutcat-unif,138,937,219,1.0556640625,0.699465182,0.0,0.001464429,0.9999999999999999
3,single-cutcat-unif,248,159,716,1.068359375,0.249941018,0.0,0.002235327,0.9999999999999999
3,single-cutcat-unif,682,150,192,1.099609375,0.248967988,0.0,0.001166105,0.9998000000000001
3,single-cutcat-unif,338,937,211,1.0185546875,0.699705225,0.0,0.001499695,0.9999999999999999
3,single-cutcat-unif,247,153,460,1.0693359375,0.247057767,0.0,0.002464681,0.9999999999999999
3,single-cutcat-unif,579,844,444,1.037109375,0.684163768,0.0,0.002104769,0.9999999999999999
4,single-cutcat-unif,742,153,638,1.033203125,0.249606105,0.0,0.002191785,0.9999999999999999
4,single-cutcat-unif,743,149,173,1.0595703125,0.241178509,0.0,0.001209557,0.9997
4,single-cutcat-unif,579,680,226,1.037109375,0.568424696,0.0,0.004169384,0.9999999999999999
4,single-cutcat-unif,262,918,176,1.0205078125,0.693538166,0.0,0.001402262,0.9999999999999999
4,single-cutcat-unif,231,121,732,1.0693359375,0.224147646,0.0,0.002511189,0.9999999999999999
4,single-cutcat-unif,682,150,192,1.099609375,0.248967988,0.0,0.001166105,0.9998000000000001
4,single-cutcat-unif,199,184,172,1.0263671875,0.251407172,0.0,0.00116869,0.9999000000000001
4,single-cutcat-unif,230,1081,463,1.30859375,1.256660323,0.0,0.002494737,0.9999999999999999
4,single-cutcat-unif,247,153,460,1.0693359375,0.247057767,0.0,0.002464681,0.9999999999999999
5,single-cutcat-unif,579,680,226,1.037109375,0.568424696,0.0,0.004169384,0.9999999999999999
5,single-cutcat-unif,262,918,176,1.0205078125,0.693538166,0.0,0.001402262,0.9999999999999999
5,single-cutcat-unif,743,155,124,1.0576171875,0.251165957,0.0,0.0011319,0.9981999999999999
5,single-cutcat-unif,699,187,460,1.0693359375,0.271194707,0.0,0.001942984,0.9999999999999999
5,single-cutcat-unif,199,184,172,1.0263671875,0.251407172,0.0,0.00116869,0.9999000000000001
5,single-cutcat-unif,247,153,460,1.0693359375,0.247057767,0.0,0.002464681,0.9999999999999999
5,single-cutcat-unif,567,665,204,1.0693359375,0.580909664,0.0,0.001423882,0.9999999999999999
5,single-cutcat-unif,186,105,755,1.0693359375,0.197983813,0.0,0.002447387,0.9999999999999999
5,single-cutcat-unif,362,149,173,1.048828125,0.240441446,0.0,0.002180404,0.9998000000000001
5,single-cutcat-unif,240,153,115,1.0693359375,0.251237431,0.0,0.000982398,0.9972000000000001
5,single-cutcat-unif,743,153,124,1.0615234375,0.254867835,0.0,0.001004339,0.9978000000000001
6,single-cutcat-unif,742,153,207,1.060546875,0.240295198,0.0,0.001263269,0.9998000000000001
6,single-cutcat-unif,698,151,620,1.099609375,0.245893485,0.0,0.002195702,0.9999999999999999
6,single-cutcat-unif,226,261,461,1.048828125,0.377882667,0.0,0.00200423,0.9999999999999999
6,single-cutcat-unif,743,155,124,1.0576171875,0.251165957,0.0,0.0011319,0.9981999999999999
6,single-cutcat-unif,743,665,636,1.0615234375,0.58128257,0.0,0.002281113,0.9999999999999999
6,single-cutcat-unif,199,184,172,1.0263671875,0.251407172,0.0,0.00116869,0.9999000000000001
6,single-cutcat-unif,247,153,460,1.0693359375,0.247057767,0.0,0.002464681,0.9999999999999999
6,single-cutcat-unif,250,151,108,1.005859375,0.230127153,0.0,0.00101023,0.9973000000000001
6,single-cutcat-unif,567,665,204,1.0693359375,0.580909664,0.0,0.001423882,0.9999999999999999
6,single-cutcat-unif,186,105,755,1.0693359375,0.197983813,0.0,0.002447387,0.9999999999999999
6,single-cutcat-unif,240,153,115,1.0693359375,0.251237431,0.0,0.000982398,0.9972000000000001
6,single-cutcat-unif,700,151,627,1.1005859375,0.263819462,0.0,0.002261447,0.9999999999999999
7,single-cutcat-unif,698,159,101,1.099609375,0.26277121,0.0,0.001593193,0.9958
7,single-cutcat-unif,227,187,460,1.0576171875,0.282992827,0.0,0.001922715,0.9999999999999999
7,single-cutcat-unif,70,150,176,1.0283203125,0.222091449,0.0,0.001882329,0.9997
7,single-cutcat-unif,743,155,124,1.0576171875,0.251165957,0.0,0.0011319,0.9981999999999999
7,single-cutcat-unif,240,121,627,1.0693359375,0.210282428,0.0,0.003238323,0.9999999999999999
7,single-cutcat-unif,186,105,755,1.0693359375,0.197983813,0.0,0.002447387,0.9999999999999999
