M: 663, C: 676, S: 775, a: 1.23828125 
 | B: 0.972379417, M: 786432, S: 0.003317615, R: 0.9999999999999999

M: 481, C: 124, S: 397, a: 1.7373046875 
 | B: 0.573922694, M: 0, S: 0.002880919, R: 0.9999999999999999

M: 1022, C: 253, S: 581, a: 1.0244140625 
 | B: 0.323307907, M: 0, S: 0.002264382, R: 0.9999999999999999

M: 1022, C: 253, S: 581, a: 1.0244140625 
 | B: 0.323307907, M: 0, S: 0.002264382, R: 0.9999999999999999

M: 1012, C: 205, S: 330, a: 1.0341796875 
 | B: 0.299144535, M: 0, S: 0.001665149, R: 0.9999999999999999

M: 982, C: 107, S: 208, a: 1.0654296875 
 | B: 0.205380582, M: 0, S: 0.00126926, R: 0.9994999999999999

M: 722, C: 661, S: 209, a: 1.052734375 
 | B: 0.575328323, M: 0, S: 0.001460202, R: 0.9999999999999999

M: 18, C: 141, S: 177, a: 1.0302734375 
 | B: 0.221807192, M: 0, S: 0.001476853, R: 0.9987000000000001

M: 982, C: 107, S: 208, a: 1.0654296875 
 | B: 0.205380582, M: 0, S: 0.00126926, R: 0.9994999999999999

M: 982, C: 107, S: 208, a: 1.0654296875 
 | B: 0.205380582, M: 0, S: 0.00126926, R: 0.9994999999999999

M: 982, C: 107, S: 208, a: 1.0654296875 
 | B: 0.205380582, M: 0, S: 0.00126926, R: 0.9994999999999999

M: 7, C: 181, S: 101, a: 1.048828125 
 | B: 0.219984316, M: 0, S: 0.000767822, R: 0.9221

M: 7, C: 181, S: 101, a: 1.048828125 
 | B: 0.219984316, M: 0, S: 0.000767822, R: 0.9221

M: 7, C: 181, S: 101, a: 1.048828125 
 | B: 0.219984316, M: 0, S: 0.000767822, R: 0.9221

M: 7, C: 181, S: 101, a: 1.048828125 
 | B: 0.219984316, M: 0, S: 0.000767822, R: 0.9221

M: 7, C: 181, S: 101, a: 1.048828125 
 | B: 0.219984316, M: 0, S: 0.000767822, R: 0.9221

M: 7, C: 181, S: 101, a: 1.048828125 
 | B: 0.219984316, M: 0, S: 0.000767822, R: 0.9221

M: 7, C: 181, S: 101, a: 1.048828125 
 | B: 0.219984316, M: 0, S: 0.000767822, R: 0.9221

M: 7, C: 181, S: 101, a: 1.048828125 
 | B: 0.219984316, M: 0, S: 0.000767822, R: 0.9221

M: 7, C: 181, S: 101, a: 1.048828125 
 | B: 0.219984316, M: 0, S: 0.000767822, R: 0.9221

M: 7, C: 181, S: 101, a: 1.048828125 
 | B: 0.219984316, M: 0, S: 0.000767822, R: 0.9221

M: 11, C: 132, S: 140, a: 1.833984375 
 | B: 0.246107915, M: 0, S: 0.00178172, R: 0.9901000000000003

M: 11, C: 132, S: 140, a: 1.833984375 
 | B: 0.246107915, M: 0, S: 0.00178172, R: 0.9901000000000003

M: 11, C: 132, S: 140, a: 1.833984375 
 | B: 0.246107915, M: 0, S: 0.00178172, R: 0.9901000000000003

M: 11, C: 132, S: 140, a: 1.833984375 
 | B: 0.246107915, M: 0, S: 0.00178172, R: 0.9901000000000003

M: 170, C: 137, S: 101, a: 1.046875 
 | B: 0.216533686, M: 0, S: 0.000874163, R: 0.9952999999999999

M: 170, C: 137, S: 101, a: 1.046875 
 | B: 0.216533686, M: 0, S: 0.000874163, R: 0.9952999999999999

M: 170, C: 137, S: 101, a: 1.046875 
 | B: 0.216533686, M: 0, S: 0.000874163, R: 0.9952999999999999

M: 219, C: 112, S: 147, a: 1.140625 
 | B: 0.212773716, M: 0, S: 0.00100458, R: 0.9987000000000001

M: 512, C: 120, S: 133, a: 1.046875 
 | B: 0.212888873, M: 0, S: 0.001067489, R: 0.9979000000000002

M: 512, C: 120, S: 133, a: 1.046875 
 | B: 0.212888873, M: 0, S: 0.001067489, R: 0.9979000000000002

